rank,domain,category,tier,brand_note,status,score,source,checked_at,http_status
1,voravpn.com,Explicit VPN,Top 15,"Best overall: seven letters, fast to say, modern, and clearly a VPN.",registry-absent,65.0,focused-vpn,2026-08-30T20:38:53.097003+00:00,404
2,aurivpn.com,Explicit VPN,Top 15,Premium-sounding seven-letter name with a clean pronunciation.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:46.615436+00:00,404
3,noxavpn.com,Explicit VPN,Top 15,"Dark, privacy-oriented feel without sounding overly technical.",registry-absent,65.0,focused-vpn,2026-08-30T20:38:50.351832+00:00,404
4,breezyvpn.com,Explicit VPN,Top 15,Friendly consumer brand suggesting effortless setup and speed.,registry-absent,73.5,focused-curated,2026-08-30T20:38:33.049161+00:00,404
5,proxyveil.com,Explicit Proxy,Top 15,Strong privacy metaphor with the product category built in.,registry-absent,71.5,focused-curated,2026-08-30T20:38:34.624905+00:00,404
6,quietproxy.com,Explicit Proxy,Top 15,"Clear, trustworthy, and naturally associated with discreet browsing.",registry-absent,73.25,focused-curated,2026-08-30T20:38:34.037110+00:00,404
7,ciravpn.com,Explicit VPN,Top 15,Compact and pronounceable with a polished app-brand feel.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:47.519451+00:00,404
8,terovpn.com,Explicit VPN,Top 15,"Short, sturdy, and technically credible.",registry-absent,65.0,focused-vpn,2026-08-30T20:38:51.971725+00:00,404
9,hushtunnel.com,Privacy synonym,Top 15,Memorable privacy promise with a direct VPN-tunnel association.,registry-absent,67.25,focused-curated,2026-08-30T20:38:43.093410+00:00,404
10,blinkproxy.com,Explicit Proxy,Top 15,Communicates speed immediately and remains easy to remember.,registry-absent,73.25,focused-curated,2026-08-30T20:38:33.095970+00:00,404
11,nyravpn.com,Explicit VPN,Top 15,Distinctive seven-letter construction with a modern sound.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:50.471545+00:00,404
12,zenpathvpn.com,Explicit VPN,Top 15,"Calm, trustworthy positioning with a safe-route implication.",registry-absent,75.25,focused-curated,2026-08-30T20:38:30.429629+00:00,404
13,lucidproxy.com,Explicit Proxy,Top 15,Clean and professional; suggests transparency and control.,registry-absent,54.25,focused-proxy,2026-08-30T20:41:56.513788+00:00,404
14,lumatunnel.com,Privacy synonym,Top 15,"Warm, modern invented brand paired with a technical VPN cue.",registry-absent,67.25,focused-curated,2026-08-30T20:38:43.219482+00:00,404
15,blinkveil.com,Privacy synonym,Top 15,Strong speed-plus-privacy metaphor; best non-literal brand from the first batch.,registry-absent,44.8,curated,2026-08-30T20:14:35.724835+00:00,404
16,oriavpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:50.875210+00:00,404
17,cyravpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:47.730744+00:00,404
18,safehopvpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,75.25,focused-curated,2026-08-30T20:38:30.291413+00:00,404
19,elaravpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,63.75,focused-vpn,2026-08-30T20:38:53.951330+00:00,404
20,nevovpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:49.853795+00:00,404
21,havovpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:48.784956+00:00,404
22,ultovpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:52.312992+00:00,404
23,pavovpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:51.093765+00:00,404
24,qiravpn.com,Explicit VPN,Also strong,Pronounceable brand with VPN stated directly in the domain.,registry-absent,65.0,focused-vpn,2026-08-30T20:38:51.262191+00:00,404
25,vividproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,54.25,focused-proxy,2026-08-30T20:41:56.931667+00:00,404
26,calmproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,55.5,focused-proxy,2026-08-30T20:41:54.906217+00:00,404
27,havenproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,54.25,focused-proxy,2026-08-30T20:41:56.142727+00:00,404
28,naviproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,74.5,focused-curated,2026-08-30T20:38:31.937110+00:00,404
29,proxyluma.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,68.5,focused-curated,2026-08-30T20:38:40.778110+00:00,404
30,proxytide.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,68.5,focused-curated,2026-08-30T20:38:41.471120+00:00,404
31,proxyhalo.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,68.5,focused-curated,2026-08-30T20:38:40.392177+00:00,404
32,voraproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,57.5,focused-proxy,2026-08-30T20:41:48.923713+00:00,404
33,auriproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,57.5,focused-proxy,2026-08-30T20:41:41.585967+00:00,404
34,nyraproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,57.5,focused-proxy,2026-08-30T20:41:45.923515+00:00,404
35,oriaproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,57.5,focused-proxy,2026-08-30T20:41:46.303784+00:00,404
36,ciraproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,57.5,focused-proxy,2026-08-30T20:41:42.388084+00:00,404
37,wingproxy.com,Explicit Proxy,Also strong,Readable proxy-oriented brand with a clear product association.,registry-absent,55.5,focused-proxy,2026-08-30T20:41:55.811187+00:00,404
38,velotunnel.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,67.25,focused-curated,2026-08-30T20:38:44.594268+00:00,404
39,roamtunnel.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,67.25,focused-curated,2026-08-30T20:38:44.594517+00:00,404
40,halocloak.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:32.778462+00:00,404
41,hushcloak.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:33.720318+00:00,404
42,lumacloak.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:36.338961+00:00,404
43,velocloak.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:43.400765+00:00,404
44,mistrelay.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:36.639326+00:00,404
45,halorelay.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:33.368953+00:00,404
46,velorelay.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,44.8,curated,2026-08-30T20:36:43.983247+00:00,404
47,calmcloak.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,40.8,semantic,2026-08-30T20:37:49.220732+00:00,404
48,airyroute.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,40.8,semantic,2026-08-30T20:37:40.622174+00:00,404
49,drifthop.com,Privacy synonym,Also strong,Brandable privacy/network metaphor suitable for a VPN service.,registry-absent,38.15,semantic,2026-08-30T20:37:59.095229+00:00,404
